[⿰忄厥]丁	撅丁
生受	生受
生忿	生分
生扭做	生（一）
生（一）	生（一）
生（二）	生（二）
甫能	甫能
由	由
男兒	男兒
男女	男女
畏	畏
畏人	畏
畢竟	畢竟
當	當
當來	當來
當元	當元
當堵	賭當
當家	當家
當年	當年
當甚	當甚
當行	當行家
當行家	當行家
當覩	賭當
當賭	賭當
癡掙	癡掙
白甚	白甚
白甚麽	白甚
的這	這
的（一）	的（一）
的（二）	的（二）
盡	盡
盪	湯
直饒	饒（五）
直（一）	直（一）
直（二）	直（二）
相將（一）	相將（一）
相將（二）	相將（二）
省可	省（三）
省可裏	省（三）
省得	省（三）
省（一）	省（一）
省（三）	省（三）
省（二）	省（二）
看則	看卽
看卽	看卽
看承	看承
看看	看看
看（一）	看（一）
看（二）	看（二）
着抹	着莫
着摸	着莫
着末	着莫
着莫	着莫
着麽	着莫
着（一）	着（一）
着（七）	着（七）
着（三）	着（三）
着（九）	着（九）
着（二十一）	着（二十一）
着（二十二）	着（二十二）
着（二十）	着（二十）
着（二）	着（二）
着（五）	着（五）
着（八）	着（八）
着（六）	着（六）
着（十一）	着（十一）
着（十七）	着（十七）
着（十三）	着（十三）
着（十九）	着（十九）
着（十二）	着（十二）
着（十五）	着（十五）
着（十八）	着（十八）
着（十六）	着（十六）
着（十四）	着（十四）
着（十）	着（十）
着（四）	着（四）
睚	睚
瞑子裏	酩子裏
瞞	懣
知	知
知聞	知聞
知識	知聞
破不剌	不剌（二）
破（一）	破（一）
破（三）	破（三）
破（二）	破（二）
破（四）	破（四）
磨	麽（二）
社火	火
祅知	祅知
祗	祗
祗今	卽今
禁受	禁（二）
禁害	禁（三）
禁持	禁（三）
禁當	禁（二）
禁瘮	噤㾕
禁耐	禁（二）
禁（一）	禁（一）
禁（三）	禁（三）
禁（二）	禁（二）
禁（五）	禁（五）
禁（四）	禁（四）
禮	禮
稅說	說說
稍稍	稍稍
稍（一）	稍（一）
稍（三）	稍（三）
稍（二）	稍（二）
稍（五）	稍（五）
稍（六）	稍（六）
稍（四）	稍（四）
穩便	穩便
穩情取	情取
穩（一）	穩（一）
穩（二）	穩（二）
突磨	篤麽
窨付	窨付
窨服	窨付
窨約	窨約
窨腹	窨付
窨附	窨付
端	端
端的	端的
笆壁	巴鼻
笑	笑
等	等
等閒	等閒
箇能	能（一）
箇（一）	箇（一）
箇（二）	箇（二）
管	管
篤篤末末	篤麽
篤麽	篤麽
糊突	糊突
約	約
索	索
索強	索強
索強似	賽強如
索強如	賽強如
索是	索是
終	終
終不成	不成
終不然	不然
終然	終
絕	絕
縱饒	饒（五）
總	總
繢	圈圚
纔	纔
罪過	罪過
羞	羞
老	老
老大小	大小
者末	遮莫（四）
者磨	遮莫（一）
者莫	遮莫（二）
者麽	遮莫（四）
者（一）	者（一）
者（三）	者（三）
者（二）	者（二）
而今	卽今
耐何	奈何
耐可	耐可
耐（一）	耐（一）
耐（三）	耐（三）
耐（二）	耐（二）
聖	聖
聖得知	聖
聞	聞
聞健	聞
聞早	聞
聽沉	聽沉
肯分	肯（五）
肯（一）	肯（一）
肯（三）	肯（三）
肯（二）	肯（二）
肯（五）	肯（五）
肯（四）	肯（四）
胎孩	台孩
胡盧蹄	葫蘆提
胡突	糊突
能亨	能（一）
能可	能（三）
能地	能（一）
能底	能（一）
能樣	能（一）
能爾	能（一）
能箇	能（一）
能解	解（一）
能許	許（二）
能（一）	能（一）
能（三）	能（三）
能（二）	能（二）
能（五）	能（五）
能（六）	能（六）
能（四）	能（四）
脫空	脫空
腌	腌
至如	至如
至於	至如
至竟	畢竟
與把	與（四）
與麽	與麽
與（一）	與（一）
與（七）	與（七）
與（三）	與（三）
與（九）	與（九）
與（二）	與（二）
與（五）	與（五）
與（八）	與（八）
與（六）	與（六）
與（十一）	與（十一）
與（十）	與（十）
與（四）	與（四）
舊家	舊家
若不沙	旣不沙
若爲	若（一）
若箇	若箇
若（一）	若（一）
若（二）	若（二）
苦	苦
落來	落得
落可也	落可便
落可便	落可便
落可的	落可便
落得	落得
落的	落得
著處	著處
葫蘆提	葫蘆提
葫蘆蹄	葫蘆提
葫蘆題	葫蘆提
蕩	湯
薄倖	薄倖
藉	藉
處分	處分
虬樓	毬樓亮槅
虬鏤	毬樓亮槅
行	行
行唐	行唐
行家	當行家
衠	衠
表得	表德
表德	表德
裏	裏
褒彈	包彈
褒談	包彈
西東	玉東西
要且	且（六）
見（一）	見（一）
見（三）	見（三）
見（二）	見（二）
見（五）	見（五）
見（四）	見（四）
覩當	賭當
解道（一）	解道（一）
解道（二）	解道（二）
解（一）	解（一）
解（三）	解（三）
解（二）	解（二）
觸處	觸處
討	討
許來	許（二）
許多	許（三）
許（一）	許（一）
許（三）	許（三）
許（二）	許（二）
許（五）	許（五）
許（四）	許（四）
訴	訴
詐	詐
評泊	評泊
評薄	評泊
評詙	評泊
評跋	評泊
誚	誚
說說	說說
誰	誰
誰家	誰家
誰當（一）	誰當（一）
誰當（二）	誰當（二）
誰誰	他誰
調鬭	鬭（一）
談羨	談羨
請佃	請佃
諸處	諸處
諸餘	諸餘
謅吒	㥮
謝（一）	謝（一）
謝（三）	謝（三）
謝（二）	謝（二）
謝（四）	謝（四）
謾	漫（一）
證本	正本
譬似閒	閒
譬如閒	閒
讛掙	癡掙
財	纔
賒	賒
賢	賢
賢家	賢
賢每	賢
賭是	不覩事
賭當	賭當
賸	賸
賽	賽
賽強如	賽強如
贏勾	營勾
赤緊	赤緊
跋	跋
跌窨	攧窨
跟前	根底
跟底	根底
路岐	路岐
躭饒	饒（二）
軟揣	囊揣
軟揣揣	囊揣
較（一）	較（一）
較（二）	較（二）
輕可	可（九）
辟邏	逼邏
辦	辦
迤逗	逗（五）
迭不	迭（一）
迭噷	攧窨
迭窨	攧窨
迭辦	辦
迭（一）	迭（一）
迭（二）	迭（二）
退佃	請佃
送	斷送（二）
送斷	斷送（二）
逗（一）	逗（一）
逗（三）	逗（三）
逗（二）	逗（二）
逗（五）	逗（五）
逗（四）	逗（四）
這	這
造化	造化
造物	造化
逡巡	逡巡
逼綽	逼綽
逼綽刀子	逼綽
逼綽子	逼綽
逼邏	逼邏
過從	過從
道不得	道不得
道不的	道不得
道（一）	道（一）
道（七）	道（七）
道（三）	道（三）
道（二）	道（二）
道（五）	道（五）
道（八）	道（八）
道（六）	道（六）
道（四）	道（四）
遮	遮
遮渠	遮渠
遮莫（一）	遮莫（一）
遮莫（三）	遮莫（三）
遮莫（二）	遮莫（二）
遮莫（五）	遮莫（五）
遮莫（四）	遮莫（四）
選甚	選甚
遼丁	夢撒撩丁
還	還
那	那
那些個	那些個
那堪	那堪
那更	那更
那裏每	那裏每
都	都來
都來	都來
都大	都大
都盧	都盧
都齊	都齊
鄒搜	㥮
酩子裏	酩子裏
采	采
重	重
銷凝	銷凝
銷黯	銷黯
鎭	鎭
鐵窨	攧窨
長短	長短
門	懣
門對	對門
閃	閃
閒	閒
閒可	可（九）
閔子裏	酩子裏
阿叱	阿鵲
阿鵲	阿鵲
除	除非是
除是	除非是
除非	除非是
除非是	除非是
隔是	隔是
隨分（一）	隨分（一）
隨分（二）	隨分（二）
雅	雅
雜不剌	不剌（二）
離摘	摘離
難當	難當
難重陳	重
雲陽	雲陽
面沒羅	面沒羅
面磨羅	面沒羅
頂眞續麻	頂眞續麻
須強如	賽強如
須至	須（一）
須（一）	須（一）
須（三）	須（三）
須（二）	須（二）
須（五）	須（五）
須（六）	須（六）
須（四）	須（四）
頗奈	耐（一）
頭抵	頭抵
頭敵	頭抵
頹	頹
顚不剌	不剌（二）
顧藉	藉
風欠	欠
颺	颺
餖飣	鬭（二）
饆饠	逼邏
饒（一）	饒（一）
饒（三）	饒（三）
饒（二）	饒（二）
饒（五）	饒（五）
饒（四）	饒（四）
驅驅	區區
骨	兀自
骨子	兀自
骨自	兀自
體面	體面
鬭作	鬭（七）
鬭釘	鬭（二）
鬭飣	鬭（二）
鬭（一）	鬭（一）
鬭（七）	鬭（七）
鬭（三）	鬭（三）
鬭（二）	鬭（二）
鬭（五）	鬭（五）
鬭（六）	鬭（六）
鬭（四）	鬭（四）
魋	頹
麽娘	娘
麽（一）	麽（一）
麽（二）	麽（二）
點湯	點湯
點茶	點茶
黯約	窨約
鼈	鼈
𡅥喑	攧窨
𡅥𡩘	攧窨
𢠳	鼈
𢬵	判
𣹜𠺕	唧𠺕
